Hourly Precipitation (in),Hourly Radiation (W/m2),Temperature (C)
0,1304,21.5
0,1567,23.1
0,1775,24.1
0,1921,25.1
0.0475,2004,25.9
0.0475,2016,26.6
0.0475,1960,27
0.0475,1838,27.2
0.0475,1656,27
0.0475,1419,26.5
0.0475,1122,26.2
0.0475,748,24.4
0.0475,233,22.4
0.0475,0,21
0.0475,0,20
0.0475,0,19.1
0.0475,0,18.4
0.0475,0,17.9
0.0475,0,17.5
0.0475,0,17.2
0.0475,0,17.1
0.0475,0,17.7
0.0475,461,19.3
0.0475,902,21.3
0.0475,1237,23.8
0.0475,1499,25.8
0.0475,1703,26.9
0.0475,1846,27.7
0.011666667,1928,28.4
0.011666667,1956,28.9
0.011666667,1905,29.1
0.011666667,1788,29
0.011666667,1614,28.8
0.011666667,1380,28.3
0.011666667,1082,27.9
0.011666667,699,26
0.011666667,186,24.8
0.011666667,0,24.3
0.011666667,0,23.9
0.011666667,0,23.3
0.011666667,0,22.9
0.011666667,0,22.7
0.011666667,0,22.7
0.011666667,0,22.6
0.011666667,0,22.4
0.011666667,0,22.7
0.011666667,30,23.5
0.011666667,32,24.6
0.011666667,542,25.8
0.011666667,1304,27
0.011666667,1655,28.3
0.011666667,1816,29.5
0.002083333,1909,30.4
0.002083333,1940,30.9
0.002083333,1895,31
0.002083333,1783,30.9
0.002083333,1608,30.6
0.002083333,1373,30.1
0.002083333,1081,29.8
0.002083333,704,27.9
0.002083333,196,26.8
0.002083333,0,26.3
0.002083333,0,25.9
0.002083333,0,25.5
0.002083333,0,25.1
0.002083333,0,24.8
0.002083333,0,24.5
0.002083333,0,24.2
0.002083333,0,23.8
0.002083333,0,23.6
0.002083333,26,23.8
0.002083333,92,24.6
0.002083333,648,25.6
0.002083333,1049,26.7
0.002083333,1636,27.6
0.002083333,1804,28.1
0,1711,28.4
0,1285,28.5
0,1190,28.3
0,952,27.7
0,1557,26.8
0,1340,25.8
0,1078,25.4
