number,value,datetime_start,datetime_complete,duration,params_daily_horizon,params_weight_fertilizer,params_weight_fertilizer_anomaly,params_weight_fruit_biomass,params_weight_height,params_weight_irrigation,params_weight_leaf_area,params_weight_water_anomaly,user_attrs_fruit_biomass,user_attrs_height,user_attrs_leaf_area,user_attrs_total_fertilizer,user_attrs_total_irrigation,state
40,522.8586749285332,2026-01-08 14:49:02.123935,2026-01-08 14:49:16.165693,0 days 00:00:14.041758,4,0.0025764759697170427,0.0027702895988318097,2799.3676784944637,209.373095556225,0.06272970468465788,536.4803692499247,5.115365566131112,0.13482946499358808,2.016240830178915,0.37203314425542516,281.78282073745345,27.336673715657888,COMPLETE
41,877.787111167897,2026-01-08 14:49:16.166925,2026-01-08 14:49:39.977018,0 days 00:00:23.810093,8,0.007904620495606205,0.21037200099088585,8916.957541941314,123.99396408429499,3.4233465463085286,740.7542022213893,0.19828020071474883,0.19890952075396984,2.376486414958085,0.5075000809170317,319.0189257525455,1.886088847950362,COMPLETE
42,846.3849290044998,2026-01-08 14:49:39.978288,2026-01-08 14:50:04.344517,0 days 00:00:24.366229,9,0.005953739005757864,0.26261930714384707,1001.8904670740064,95.36373432242833,4.915385380637637,770.8654684921024,0.08412997476613808,0.1769347267937476,1.9185090192933092,0.4379383742303667,165.33521080115577,0.381675965281037,COMPLETE
43,700.9329912607269,2026-01-08 14:50:04.345622,2026-01-08 14:50:31.624137,0 days 00:00:27.278515,8,0.01851899204672285,0.17700934207231633,8678.825230404987,166.65128016822084,1.4668128661103952,743.5248018687168,0.23212360873168913,0.15261545548045727,1.6553184108168444,0.378160602376973,173.6311547571111,5.418465248040237,COMPLETE
44,1029.0153277629486,2026-01-08 14:50:31.625269,2026-01-08 14:50:50.402810,0 days 00:00:18.777541,6,0.0039463269807076,0.40371988191409575,2009.2365636022123,850.4443557875176,2.4480585016096135,920.608930671616,0.029766887504681774,0.21754122263565234,2.611276953535763,0.5653502347810019,245.64650399726003,0.5805766815269171,COMPLETE
45,1019.6117126072329,2026-01-08 14:50:50.403987,2026-01-08 14:51:08.493217,0 days 00:00:18.089230,6,0.00416739854246338,0.4334685595157335,1872.9865318360855,893.2897566313413,2.7032365011372517,926.7660477707014,0.02278010687639807,0.21520913643045986,2.571491400499583,0.557850223260941,239.34036181911608,0.5269796849819015,COMPLETE
46,917.9988385864461,2026-01-08 14:51:08.494480,2026-01-08 14:51:27.395521,0 days 00:00:18.901041,6,0.006979591235067846,0.45830123941899403,8758.29012324409,893.3439815299631,2.4423464718786834,907.9229647010042,0.027243598178673167,0.2071233424999817,2.5143410050329273,0.531783402926065,328.83773965908597,2.0645150965250245,COMPLETE
47,909.4006003425403,2026-01-08 14:51:27.396811,2026-01-08 14:51:43.387009,0 days 00:00:15.990198,6,0.005964489468268881,0.36859880732237676,3347.701224618253,884.1597322079007,2.3535076219438635,919.1662582659175,0.031119790800285305,0.19745821149823586,2.2107075034470527,0.5005484361168626,247.84012210551288,1.053641118798402,COMPLETE
48,763.1114961348574,2026-01-08 14:51:43.388208,2026-01-08 14:52:02.784464,0 days 00:00:19.396256,6,0.0020368913500203633,0.5402166163831994,3280.573768682735,906.8110445823866,2.5277244934801,939.2613823713465,0.02712050404260048,0.1942223577779025,2.5773524152198113,0.560390088322932,505.1284225422843,0.860174028985031,COMPLETE
49,841.9713409370345,2026-01-08 14:52:02.786010,2026-01-08 14:52:18.443192,0 days 00:00:15.657182,5,0.006839401839691175,1.4611330665039097,1804.1854678295508,839.2894790168659,6.658767624743584,985.9098346580865,0.03314669191515881,0.18078504393847405,1.9195503344799645,0.4493502035648685,204.6925443666346,0.317718910653481,COMPLETE
50,749.1214096641115,2026-01-08 14:52:18.444516,2026-01-08 14:52:35.833889,0 days 00:00:17.389373,6,0.023153491762498497,0.7091519167520942,3638.8537496227636,778.7063864033435,2.2146461105264432,923.0198125496594,0.0036203304971058298,0.15219222823748438,1.563351438495038,0.3733865557008956,97.17292323633377,1.7326204743019697,COMPLETE
51,1025.2798786293906,2026-01-08 14:52:35.835135,2026-01-08 14:52:57.157072,0 days 00:00:21.321937,7,0.0045768163150444185,0.42189210805090505,4611.34618167044,927.8409263691026,0.796117861676639,851.3854652689674,0.03726478189227038,0.2235319159250225,2.803077438812565,0.5945462213332523,308.0632378042151,3.110733585130168,COMPLETE
52,784.2216468349209,2026-01-08 14:52:57.158407,2026-01-08 14:53:19.869373,0 days 00:00:22.710966,7,0.012540089731543278,0.42530778400181074,5643.0267932804345,924.4180032223683,1.7392643332621884,838.8892528263297,0.03779796493762426,0.17109344610655455,1.8558247800599748,0.4261833432187854,208.36041914906934,2.8970885379280995,COMPLETE
53,922.7366566955116,2026-01-08 14:53:19.870613,2026-01-08 14:53:34.835554,0 days 00:00:14.964941,5,0.004920884932930104,2.545630382373111,4202.379704992177,894.8829407120398,3.083412543312527,883.4621712764364,0.016881240798519343,0.20352613012555554,2.324823996117245,0.5208163000491937,284.43237953049464,0.8287428530835712,COMPLETE
54,801.1063954315287,2026-01-08 14:53:34.836851,2026-01-08 14:53:49.709312,0 days 00:00:14.872461,5,0.009649752909405895,2.230547057013027,2738.947592855272,949.3939811022138,6.860963492205583,879.2451493742291,0.017981284812503922,0.17015186827475567,1.7591643388220157,0.417939959155828,173.7768180328541,0.39914759811766976,COMPLETE
55,884.7819733769659,2026-01-08 14:53:49.710442,2026-01-08 14:54:05.503098,0 days 00:00:15.792656,5,0.002164202084534949,1.1679978674292746,4279.251760817856,741.0199107003764,0.9301391284548655,999.5224683514522,0.009957405469711677,0.2081691492941956,2.723082792784287,0.5721992873548468,416.2742868065252,2.154536705870152,COMPLETE
56,1017.5119406030788,2026-01-08 14:54:05.504385,2026-01-08 14:54:22.906938,0 days 00:00:17.402553,6,0.0039268503062296805,2.6864240700010473,1071.065878652228,863.5803288878075,3.228724836160943,826.7576599433537,0.0067318353988420005,0.21296740466628167,2.556306075609729,0.5531294074685483,224.62544865221648,0.33325997074601665,COMPLETE
57,598.6267116620711,2026-01-08 14:54:22.908172,2026-01-08 14:54:41.924093,0 days 00:00:19.015921,7,0.0016072990060055125,2.5879916412409263,1050.546541720774,843.7535511591775,4.691631255875635,823.5421186421443,0.005995520387182226,0.17604765539868203,2.378462000064305,0.5025903931420516,611.556138132142,0.2964952883602542,COMPLETE
58,244.1931503568738,2026-01-08 14:54:41.925482,2026-01-08 14:55:02.623253,0 days 00:00:20.697771,7,0.004392962418064476,3.8741751362691685,491.06082817066954,791.3661586312729,0.02559248107882208,952.4356968975326,0.016716397471302144,0.098354041671555,2.904307117374099,0.271741514161037,374.0039746852686,61.95953463875374,COMPLETE
59,953.5177635610535,2026-01-08 14:55:02.624401,2026-01-08 14:55:17.240857,0 days 00:00:14.616456,5,0.0032886395553915868,0.9812187082018032,1267.2505713155538,671.6658896559834,9.393329659936246,798.776067144244,0.08793250888709321,0.20548814118842543,2.346292315303689,0.5235921918852907,252.96376899752403,0.13863142696321984,COMPLETE
60,751.9913209578227,2026-01-08 14:55:17.242268,2026-01-08 14:55:36.318685,0 days 00:00:19.076417,4,0.8928930195295226,0.96770498289057,772.8272480570165,687.1194059508666,7.910994594239624,794.9948588813303,0.08017277637882825,0.14125927274765737,1.445625703424724,0.3462440173742819,1.970310602667544,0.2210177072752828,COMPLETE
61,953.6067987207092,2026-01-08 14:55:36.320077,2026-01-08 14:55:53.154618,0 days 00:00:16.834541,5,0.00322327329710576,3.0391259257321623,1866.0461778651825,570.2870736882054,9.954675083351532,856.9983519161063,0.007400261231652982,0.20772174890247957,2.358272411120634,0.5303905731944902,272.0152168155638,0.15557419830316183,COMPLETE
62,998.084768016091,2026-01-08 14:55:53.155825,2026-01-08 14:56:11.662093,0 days 00:00:18.506268,6,0.0032710384785615736,1.5219659660620912,1207.3293539463684,540.0023044550508,9.735348182003754,853.1037506664027,0.007722959551360991,0.2125832344233889,2.5183982666433318,0.5477400095737326,250.09972448279763,0.12871786321044773,COMPLETE
63,553.8526865613308,2026-01-08 14:56:11.663185,2026-01-08 14:56:28.852618,0 days 00:00:17.189433,6,0.001439311164204733,5.231681669518024,1990.9696519491863,605.2462179134482,5.67793991584587,858.514041100673,0.0027313857332284582,0.17689320985229304,2.5055452246843837,0.5392359320491347,710.5088737751332,0.3497285189794318,COMPLETE
64,1103.393191681425,2026-01-08 14:56:28.853826,2026-01-08 14:56:46.790150,0 days 00:00:17.936324,6,0.0024837513594291546,1.4763025176177993,1603.9486654671646,536.2538563431059,4.532074733553012,848.5803299916998,0.00791231530937201,0.2333596645675808,2.8849555200502706,0.6147094078266404,273.10963901962356,0.25198158537404736,COMPLETE
65,1033.7774139039796,2026-01-08 14:56:46.791394,2026-01-08 14:57:05.717329,0 days 00:00:18.925935,6,0.0021737810001418844,1.6915434321354816,1595.4824151548864,533.9019199521513,3.494704968289098,964.0008654002263,0.004425864996002734,0.22629039863992045,2.7190991776700004,0.5866682553286928,315.72189468312405,0.3318814111737318,COMPLETE
66,-113.06218090370714,2026-01-08 14:57:05.718534,2026-01-08 14:57:28.814009,0 days 00:00:23.095475,7,0.0007442902317471115,1.9206781417538819,1633.747102496366,862.1776440754046,3.7228656093731614,899.1999875828285,0.01177137583224004,0.11032648997646306,1.9645565392333697,0.40829068901939247,1236.6057916059056,0.6405411326395317,COMPLETE
